energy,sigma_m2,results,lambda,error1,error2,rate,T_e
12.22,8.886771213305997e-34,0.2506053092176448,0.0237609,0.0205808,0.0269924,6.87748884431064,12.22
12.24,8.903554019861226e-34,0.2506115214327099,0.0233688,0.0202096,0.0265837,6.776939112826838,12.24
12.26,8.920334474624299e-34,0.2506104974602464,0.0229831,0.01984,0.0261843,6.677620674535345,12.26
12.28,8.937112585404891e-34,0.2505995643268041,0.0225988,0.0194716,0.0257872,6.5780271288540595,12.28
12.3,8.953888359989452e-34,0.2506012114762236,0.0222155,0.0191031,0.0253913,6.478637411519621,12.3
12.32,8.970661806141054e-34,0.2506059510515351,0.0218312,0.0187383,0.024996,6.378612405797737,12.32
12.34,8.987432931598995e-34,0.2505970086328802,0.0214547,0.0183828,0.0245994,6.28010250157367,12.34
12.36,9.004201744079289e-34,0.2505916814425554,0.021083,0.0180289,0.0242132,6.18268352898853,12.36
12.38,9.020968251274403e-34,0.2505983438306278,0.0207127,0.017676,0.0238285,6.0855636164932365,12.38
12.4,9.037732460853101e-34,0.2505956127836405,0.0203432,0.0173225,0.023445,5.988043605137098,12.4
12.42,9.054494380460442e-34,0.2505852326729184,0.0199715,0.0169755,0.023062,5.889292205903894,12.42
12.44,9.071254017718302e-34,0.2505876825630088,0.019612,0.0166362,0.0226791,5.7940424638632155,12.44
12.46,9.088011380224152e-34,0.250592220269957,0.0192548,0.0162984,0.0223059,5.6991252180879455,12.46
12.48,9.104766475552298e-34,0.2505832007807465,0.018899,0.0159616,0.0219343,5.6039251969603985,12.48
12.5,9.121519311253072e-34,0.2505776908924828,0.0185439,0.015623,0.0215638,5.508627455869555,12.5
12.52,9.13826989485314e-34,0.250584288145543,0.0181873,0.015295,0.0211936,5.412760223867714,12.52
12.54,9.155018233855312e-34,0.2505827826786477,0.0178437,0.0149724,0.0208253,5.320201671152017,12.54
12.56,9.171764335738641e-34,0.2505721629401161,0.0175017,0.0146513,0.0204657,5.227555896199722,12.56
12.58,9.188508207958284e-34,0.2505727362916665,0.0171611,0.0143309,0.0201076,5.135192000851503,12.58
12.6,9.205249857945849e-34,0.250578670878499,0.0168209,0.014007,0.0197507,5.042682819844993,12.6
12.62,9.221989293108713e-34,0.2505718927178799,0.016481,0.0136995,0.0193938,4.94963606535965,12.62
12.64,9.238726520830682e-34,0.2505637452601455,0.016153,0.0133941,0.0190407,4.859776287120239,12.64
12.66,9.255461548471656e-34,0.2505686589951525,0.0158267,0.0130901,0.0186953,4.770324697959184,12.66
12.68,9.272194383367688e-34,0.2505710503211159,0.0155017,0.0127865,0.0183514,4.680858253007592,12.68
12.7,9.288925032830998e-34,0.2505612821666944,0.0151767,0.0124809,0.0180086,4.590812030308336,12.7
12.72,9.305653504149792e-34,0.2505575467519927,0.0148542,0.0121915,0.017665,4.501283574367395,12.72
12.74,9.322379804588633e-34,0.2505640341364457,0.0145425,0.0119038,0.0173282,4.414864092165328,12.74
12.76,9.339103941387982e-34,0.2505620705214612,0.0142324,0.0116173,0.0169976,4.328440183499662,12.76
12.78,9.355825921764717e-34,0.2505520191984138,0.0139234,0.0113308,0.0166684,4.241877090791083,12.78
12.8,9.372545752911769e-34,0.2505520891892134,0.0136139,0.0110447,0.0163402,4.15499872360411,12.8
12.82,9.389263441998105e-34,0.2505580383419956,0.0133096,0.0107733,0.0160104,4.069467733870782,12.82
12.84,9.405978996169056e-34,0.2505528596031715,0.0130146,0.0105036,0.015691,3.9862720459547667,12.84
12.86,9.422692422545968e-34,0.2505439652870327,0.0127211,0.0102349,0.0153756,3.903160132637171,12.86
12.88,9.4394037282265e-34,0.2505470963259692,0.0124286,0.0099655,0.0150616,3.820224516510775,12.88
12.9,9.45611292028454e-34,0.250551514298492,0.0121345,0.0096995,0.0147484,3.7364941666678235,12.9
12.92,9.472820005770148e-34,0.2505438957753089,0.0118495,0.0094468,0.0144326,3.6550715057926295,12.92
12.94,9.489524991709574e-34,0.2505369393824093,0.0115716,0.0091955,0.0141312,3.5755462113609298,12.94
12.96,9.506227885105322e-34,0.2505417166399132,0.0112952,0.008945,0.0138315,3.4963502825682062,12.96
12.98,9.522928692936533e-34,0.2505446009339631,0.0110195,0.0086928,0.0135332,3.4170411669504226,12.98
13.0,9.53962742215779e-34,0.2505357692847288,0.0107406,0.008448,0.0132354,3.3362795742869915,13.0
13.02,9.55632407970107e-34,0.2505302209472,0.0104762,0.0082142,0.0129366,3.259774158944802,13.02
13.04,9.57301867247406e-34,0.250535751776575,0.0102158,0.0079816,0.0126514,3.1843715702992226,13.04
13.06,9.589711207360849e-34,0.2505374945734487,0.0099567,0.0077494,0.0123678,3.109040801436123,13.06
13.08,9.606401691222166e-34,0.2505283993022236,0.0096978,0.007514,0.0120855,3.0333580093697052,13.08
13.1,9.623090130894945e-34,0.2505235432258451,0.0094354,0.0072914,0.0118033,2.9563520930461755,13.1
13.12,9.639776533192742e-34,0.2505294731053603,0.0091913,0.0070767,0.0115223,2.8849312883468476,13.12
13.14,9.656460904905453e-34,0.2505305959900871,0.0089487,0.006863,0.0112537,2.813658907653338,13.14
13.16,9.673143252799389e-34,0.2505214076962572,0.0087073,0.0066492,0.0109867,2.7423868110925373,13.16
13.18,9.689854981380343e-34,0.2505171489872214,0.0084657,0.0064296,0.0107208,2.670855260201113,13.18
13.2,9.70653337833455e-34,0.2505230233480077,0.0082228,0.006231,0.0104543,2.598748577895894,13.2
13.22,9.723209771463317e-34,0.2505241456823703,0.007997,0.0060354,0.0101918,2.5317398775582864,13.22
13.24,9.739884167439772e-34,0.2505151859344985,0.0077726,0.0058406,0.0099401,2.4648296448865357,13.24
13.26,9.756556572913556e-34,0.2505104959825876,0.007549,0.0056451,0.0096899,2.397975050933584,13.26
13.28,9.773226994511408e-34,0.2505161186122819,0.0073246,0.0054444,0.0094406,2.330721131945001,13.28
13.3,9.789895438836262e-34,0.2505177984846285,0.0071017,0.0052671,0.0091897,2.2636626394731825,13.3
13.32,9.806561912468304e-34,0.2505092332930763,0.0068944,0.0050907,0.0089465,2.201251829993476,13.32
13.34,9.823226421964525e-34,0.2505040039701872,0.0066883,0.0049148,0.0087122,2.1390321505642,13.34
13.36,9.839888973858506e-34,0.250509001142094,0.0064827,0.0047374,0.0084792,2.076835978050577,13.36
13.38,9.856549574661124e-34,0.2505117058632606,0.0062753,0.0045583,0.0082468,2.0138177692474306,13.38
13.4,9.873208230859997e-34,0.2505039667193864,0.0060733,0.0044003,0.0080114,1.9522272887289749,13.4
13.42,9.889864948919862e-34,0.2504974870583999,0.0058846,0.0042432,0.0077887,1.894712948064551,13.42
13.44,9.906519735282309e-34,0.2505016887296684,0.0056968,0.004086,0.007572,1.837365175637864,13.44
13.46,9.923172596366417e-34,0.2505055900591679,0.0055091,0.0039265,0.0073564,1.7798416419529528,13.46
13.48,9.939823538568112e-34,0.2504992271377445,0.0053181,0.0037693,0.0071409,1.7209739839278573,13.48
13.5,9.956472568260448e-34,0.2504915554450072,0.0051379,0.0036304,0.0069201,1.6653939371996498,13.5
13.52,9.973119691793885e-34,0.2504937441440724,0.0049678,0.0034921,0.0067194,1.6129643162828018,13.52
13.54,9.989764915496369e-34,0.250499239691746,0.0047985,0.0033534,0.0065204,1.5606298898577875,13.54
13.56,1.0006408245672766e-33,0.2504951115680182,0.0046287,0.0032109,0.0063223,1.5078885628989462,13.56
13.58,1.0023049688605517e-33,0.2504862752817117,0.0044533,0.0030761,0.0061238,1.4531100681835225,13.58
13.6,1.0039689250554616e-33,0.2504858492852369,0.0042962,0.0029558,0.0059219,1.4041732609626272,13.6
13.62,1.005632693775739e-33,0.2504918462213088,0.0041447,0.0028357,0.0057396,1.3569342979435342,13.62
13.64,1.0072962756428849e-33,0.2504909702264903,0.0039936,0.0027148,0.0055584,1.309623947069729,13.64
13.66,1.008959671276129e-33,0.2504821350517247,0.0038415,0.0025885,0.0053778,1.261781462072542,13.66
13.68,1.0106228812925057e-33,0.2504782289476842,0.003682,0.0024765,0.005196,1.2113667136025101,13.68
13.7,1.0122859063067906e-33,0.2504836299993267,0.0035479,0.0023738,0.0050138,1.1691941944007305,13.7
13.72,1.0139487469315465e-33,0.2504861984834308,0.0034146,0.0022712,0.0048495,1.127125775557272,13.72
13.74,1.0156114037771115e-33,0.2504792810087262,0.0032814,0.0021673,0.0046862,1.0849039524977968,13.74
13.76,1.017273877451617e-33,0.2504722433140467,0.0031466,0.0020555,0.0045231,1.0420097369049746,13.76
13.78,1.0189361685609672e-33,0.2504746484240369,0.0030077,0.0019662,0.0043578,0.9976495497219133,13.78
13.8,1.0205982777088958e-33,0.2504799662183446,0.0028916,0.0018802,0.004196,0.9607243189437648,13.8
13.82,1.0222602054968852e-33,0.250476586081536,0.002776,0.0017938,0.0040497,0.9238060306835859,13.82
13.84,1.0239219525242937e-33,0.2504680745945755,0.0026602,0.0017058,0.0039041,0.8866786708281285,13.84
13.86,1.0255835193882444e-33,0.2504662717365857,0.0025419,0.0016111,0.0037584,0.848616529267541,13.86
13.88,1.0272449066836946e-33,0.2504717651979446,0.0024237,0.00154,0.0036092,0.810483871542005,13.88
13.9,1.0289061150034242e-33,0.2504732114450595,0.0023247,0.001469,0.0034684,0.7786399617596476,13.9
13.92,1.0305671449380584e-33,0.2504656542130388,0.002226,0.0013976,0.0033398,0.7467622820965165,13.92
13.94,1.0322279970760308e-33,0.2504595475072115,0.0021268,0.0013242,0.0032116,0.7146158071707803,13.94
13.96,1.033888672003644e-33,0.2504624479645574,0.0020242,0.001248,0.0030827,0.6812437946562998,13.96
13.98,1.035549170305032e-33,0.2504673898145642,0.0019262,0.0011904,0.0029487,0.6493158951140174,13.98
14.0,1.0372094925622056e-33,0.2504642235524843,0.0018433,0.0011329,0.0028295,0.622358960317822,14.0
14.02,1.0388696393550049e-33,0.2504557921000266,0.0017604,0.0010747,0.0027181,0.5953004830211821,14.02
14.04,1.0405296112611716e-33,0.2504535525233402,0.0016766,0.0010142,0.0026068,0.5678633535681974,14.04
14.06,1.0421894088562721e-33,0.2504588722045362,0.0015886,0.0009547,0.0024943,0.5389275374754614,14.06
14.08,1.0438490327138086e-33,0.2504611952157815,0.0015101,0.0009089,0.002374,0.513117220869229,14.08
14.1,1.0455084834051337e-33,0.2504546506308804,0.0014418,0.000863,0.0022771,0.4906755564584021,14.1
14.12,1.0471677614994824e-33,0.2504476402158721,0.0013733,0.0008164,0.002182,0.4680921612629244,14.12
14.14,1.048826867564018e-33,0.250448857133305,0.0013038,0.0007671,0.0020868,0.4451092052336428,14.14
14.16,1.0504858021637799e-33,0.2504544697128502,0.0012286,0.0007221,0.00199,0.4201092323452297,14.16
14.18,1.0521445658617376e-33,0.2504537907043943,0.0011685,0.0006862,0.0018875,0.40018838855048955,14.18
14.2,1.0538031592187633e-33,0.2504457358611997,0.0011131,0.0006501,0.0018074,0.3818036374839109,14.2
14.22,1.0554615827936469e-33,0.2504408328946906,0.0010575,0.0006133,0.0017276,0.3632960590323341,14.22
14.24,1.057119837143132e-33,0.2504442817476189,0.0010006,0.0005735,0.0016475,0.34429330861461693,14.24
14.26,1.0587779228218609e-33,0.2504490245553372,0.0009372,0.0005408,0.0015653,0.32299012343643446,14.26
14.28,1.0604358403824317e-33,0.2504459922782964,0.000893,0.0005129,0.0014811,0.30823551989221787,14.28
14.3,1.0620935903753982e-33,0.2504378787618748,0.0008488,0.0004849,0.0014152,0.2934275695493758,14.3
14.32,1.0637511733492768e-33,0.250434714430529,0.0008044,0.0004562,0.0013494,0.27850909636630927,14.32
14.34,1.065408589850504e-33,0.2504394529478302,0.0007585,0.0004239,0.001283,0.263031200126702,14.34
14.36,1.067065840423528e-33,0.2504431158873426,0.0007094,0.0004012,0.0012141,0.24639065992604417,14.36
14.38,1.0687229256107282e-33,0.2504385263405565,0.0006748,0.0003799,0.0011471,0.23473296265657928,14.38
14.4,1.0703798459524929e-33,0.2504306036711792,0.0006401,0.0003584,0.0010937,0.22300052823190347,14.4
14.42,1.0720366019872032e-33,0.2504291824263886,0.0006051,0.0003362,0.0010403,0.21113218541498854,14.42
14.44,1.0736931942511897e-33,0.2504341097522686,0.0005686,0.0003114,0.0009862,0.19870705059365323,14.44
14.46,1.0753496232788162e-33,0.2504367823150808,0.0005317,0.0002952,0.0009291,0.18610035594743984,14.46
14.48,1.0770058896024605e-33,0.2504315109434225,0.0005049,0.000279,0.0008774,0.17698854691050175,14.48
14.5,1.0786619937524504e-33,0.2504240876095234,0.000478,0.0002626,0.0008349,0.16781165268072276,14.5
14.52,1.0803179362572297e-33,0.2504234381479793,0.0004507,0.0002455,0.0007923,0.1584699275993356,14.52
14.54,1.0819737176431666e-33,0.2504284795097094,0.0004218,0.0002275,0.0007489,0.14853874301451078,14.54
14.56,1.0836293384347267e-33,0.2504307644927971,0.0003948,0.0002152,0.0007018,0.13924458622249164,14.56
14.58,1.0852847991543913e-33,0.250425268951644,0.0003743,0.000203,0.0006636,0.13221308444113034,14.58
14.6,1.08694010032267e-33,0.250418136768373,0.0003536,0.0001905,0.0006302,0.12508821309219276,14.6
14.62,1.0885952424581572e-33,0.2504174911880933,0.0003326,0.0001773,0.0005967,0.11783819406066352,14.62
14.64,1.0902502260774813e-33,0.2504224932853413,0.0003099,0.0001645,0.0005624,0.10996483776161842,14.64
14.66,1.0919050516953394e-33,0.2504247985197693,0.0002907,0.0001553,0.0005236,0.10330943372522851,14.66
14.68,1.0935597198244728e-33,0.2504195421261684,0.0002751,0.0001461,0.0004969,0.09791157880800548,14.68
14.7,1.095214230975771e-33,0.2504123170668427,0.0002594,0.0001368,0.0004711,0.09246076402207852,14.7
14.72,1.0968685856581196e-33,0.2504113396247261,0.0002433,0.0001267,0.000445,0.08685272319331909,14.72
14.74,1.0985227843785329e-33,0.2504162599921086,0.0002253,0.0001178,0.0004181,0.08054999665408631,14.74
14.76,1.1001768276421469e-33,0.2504189287468521,0.0002121,0.0001109,0.0003885,0.0759456767222531,14.76
